,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,distance
4121,4225542,One-bedroom nearby the Eiffel tower,14275514,Camille,,Palais-Bourbon,48.86023114971361,2.297640217671877,Entire home/apt,75,14,4,2016-05-28,0.19,1,247,442.73
4512,8500822,Tour Eiffel - Parc du Champ-de-Mars,20882426,Guido,,Palais-Bourbon,48.857597450837744,2.2981744477721726,Entire home/apt,280,1,6,2016-05-18,0.98,1,360,439.26
16174,994093,Charming 2room apt. by Eiffel Tower,5114928,David,,Vaugirard,48.85452130752278,2.2935042447931138,Entire home/apt,111,3,88,2016-06-21,2.22,1,341,437.51
4356,4740334,Studio 1 mn walk from eiffel tower ,24471226,Yacin,,Palais-Bourbon,48.86138748178297,2.2961233525451226,Entire home/apt,59,3,8,2015-10-27,0.55,1,256,437.11
15732,2031358,Charming & central Townhouse - Eiffel Tower,9227455,Wladimir,,Vaugirard,48.854638826293105,2.2940889946627947,Entire home/apt,220,5,1,2016-06-01,0.88,1,365,435.7
4888,965595,Flat avec Vue Exceptionnelle 7ar  !,5264772,Celine,,Palais-Bourbon,48.859437079611034,2.2979700136933934,Private room,76,2,4,2014-06-30,0.11,1,346,432.22
34484,519164,1 Bedroom Apt in Passy-Trocadero,1812783,Benjamin,,Passy,48.857594362187044,2.286503281537545,Entire home/apt,115,6,5,2015-10-08,0.11,1,306,431.93
4428,2874271,(110m?) Luxury Classic Apartment,7608379,Alexis,,Palais-Bourbon,48.85907801546941,2.298090130016041,Entire home/apt,561,1,33,2015-10-11,1.25,35,283,431.68
5062,3033765,(115m?) Eiffel Diamond Apartment ,7608379,Alexis,,Palais-Bourbon,48.85614792094295,2.2970953149535025,Entire home/apt,400,1,25,2016-01-27,1.0,35,310,430.09
35347,7713939,Fantasy Eiffel Duplex,1471347,Eugenio,,Passy,48.857544181861115,2.2866225973553864,Entire home/apt,829,3,8,2016-06-26,0.89,5,355,424.56
35436,2143031,"modern 1BR, Trocad?ro-Passy/seine",10908942,Marina,,Passy,48.85786571782415,2.286537451432331,Entire home/apt,85,4,3,2015-05-26,0.11,1,360,424.42
16260,3671730,CHEZ SUFFREN - Eiffel tower view !,12984381,Olivier,,Vaugirard,48.85481062455939,2.2943179029447704,Entire home/apt,125,5,0,,,91,215,423.12
