,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,distance
32866,12357859,Superbe appartement vue Tour Eiffel,14459169,Yaya,,Passy,48.85857505959072,2.2885410887399784,Entire home/apt,120,2,8,2016-06-27,4.21,1,309,274.98
17993,100858,"EIFFEL TOWER APT, STUNNING VIEW",529347,Charles,,Vaugirard,48.85593639550282,2.292002088090823,Entire home/apt,261,7,108,2016-05-30,1.77,1,230,271.81
34755,4432916,studio p?niche  face tour eiffel,23013778,Olivier,,Passy,48.85792522519343,2.288683555900954,Entire home/apt,128,2,131,2016-06-27,6.59,1,211,268.32
4696,8606572,Unique place next to Eiffel Tower 1,30167490,Caroline,,Palais-Bourbon,48.856718122804395,2.294954543061535,Private room,80,2,20,2016-06-14,2.24,2,327,268.26
16704,12220653,Closest balcony to Eiffel Tower,48645884,Anatoli,,Vaugirard,48.85611718167807,2.2926921576129082,Entire home/apt,1202,2,0,,,8,3,252.64
4600,10586287,Mega Eiffel Tower View,7608379,Alexis,,Palais-Bourbon,48.85842603073679,2.2956784007002304,Entire home/apt,701,2,1,2016-05-18,0.63,35,290,248.15
16134,6330152,Eiffel Tower BIR HAKEIM,32949653,Cheraz,,Vaugirard,48.85635140948289,2.2908732428381944,Entire home/apt,53,2,42,2016-06-12,3.19,1,294,247.51
18253,5857402,Enjoyable 2Bdr apt - Eiffel Tower,2288803,Fabien,,Vaugirard,48.85618693538178,2.2926233563224363,Entire home/apt,399,5,4,2015-09-19,0.31,155,357,244.39
16992,1890074,Next to the Eiffel Tower with view,9827985,David,,Vaugirard,48.85625758727671,2.2916163950807507,Entire home/apt,116,5,66,2016-06-17,2.17,1,229,240.35
5111,9833740,Chambre luxe 100M Tour Eiffel,50643843,Charles Et Marie,,Palais-Bourbon,48.85638727911218,2.2931064597428343,Private room,150,1,8,2016-06-22,1.79,2,362,228.85
16154,3537668,(110m2) The Peak Eiffel tower,7608379,Alexis,,Vaugirard,48.856485902881396,2.2912925091991903,Entire home/apt,491,1,27,2016-05-19,1.21,35,290,222.16
4996,2784104,EIFFEL TOWER- LUXURY 1 BEDROOM ,14241127,Wakim,,Palais-Bourbon,48.856507881879566,2.2930132526296867,Entire home/apt,100,3,18,2016-06-25,0.73,1,324,214.15
4749,2503762,Incredible flat and best view ever,12350592,Julie,,Palais-Bourbon,48.85673831757836,2.29341980130817,Entire home/apt,481,1,0,,,1,0,199.82
3935,827062,Penthouse w the best view of Paris,2234791,Francoise,,Palais-Bourbon,48.856776813039275,2.2935164905063625,Entire home/apt,331,3,84,2016-06-19,2.86,1,241,199.03
33860,148885,Studio on a high floor Eiffel Tower,718576,Milena,,Passy,48.8585503489684,2.289777258897963,Entire home/apt,90,45,30,2016-05-30,0.49,1,187,184.68
4272,3736614,[110m2] City View Apartment,7608379,Alexis,,Palais-Bourbon,48.8571706273101,2.2939458009126543,Entire home/apt,400,1,14,2016-01-12,0.65,35,283,180.6
17525,7591565,Appart a 10 metre de la Tour Eiffel,39810615,Pierre-Emmanuel,,Vaugirard,48.85737716045116,2.2910723289423958,Entire home/apt,100,1,0,,,1,0,142.05
5004,5533911,Big flat near Effeil Tower,24794915,Nicolas,,Palais-Bourbon,48.857118059086545,2.2924600297824007,Entire home/apt,501,1,1,2015-04-12,0.07,1,365,140.18
4139,4047175,Chambre cosy au coeur de Paris,14730972,Nicolas,,Palais-Bourbon,48.85720148918135,2.292018426230789,Private room,100,1,1,2015-02-23,0.06,2,365,131.81
4200,12370804,100m from the Eiffel Tower,66700413,Larisa,,Palais-Bourbon,48.85778705120643,2.291379371933349,Entire home/apt,120,1,4,2016-05-30,2.07,2,21,93.09
4223,4773013,[110m2] The Eiffel Program,7608379,Alexis,,Palais-Bourbon,48.85792567807799,2.2913885311370024,Entire home/apt,400,1,6,2016-05-23,0.44,35,280,82.49
4503,2604080,Cosy double bedroom in Belleville,277003,Sarah,,Palais-Bourbon,48.85772318612294,2.2918329835177613,Entire home/apt,39,3,38,2016-06-19,1.49,1,251,79.59
4329,8729056,Eiffel Tower Gorgeous Gem!,45806336,Sonja,,Palais-Bourbon,48.857994415313215,2.2931856620591,Entire home/apt,600,1,1,2015-12-13,0.15,1,331,78.08
4287,4132978,(115m2) Eiffel Luxury Collection,7608379,Alexis,,Palais-Bourbon,48.85807550155357,2.293166480360937,Entire home/apt,600,1,41,2016-06-12,1.91,35,312,72.36
